Iteration,Cost,Temperature
0,1832899,100
1,1832899,100
2,1832899,100
3,1816282,100
4,1816282,100
5,1793442,100
6,1793442,100
7,1793442,100
8,1793442,100
9,1793442,100
10,1793442,99
11,1714723,99
12,1714723,99
13,1714723,99
14,1714723,99
15,1699221,99
16,1659050,99
17,1659050,99
18,1613457,99
19,1613457,99
20,1613457,94.05
21,1609403,94.05
22,1609403,94.05
23,1602112,94.05
24,1591774,94.05
25,1591133,94.05
26,1591133,94.05
27,1591133,94.05
28,1591133,94.05
29,1591133,94.05
30,1588652,89.3475
31,1588652,89.3475
32,1588652,89.3475
33,1588652,89.3475
34,1588652,89.3475
35,1588652,89.3475
36,1588652,89.3475
37,1588033,89.3475
38,1578834,89.3475
39,1578834,89.3475
40,1578834,88.454
41,1545113,88.454
42,1543301,88.454
43,1533001,88.454
44,1528800,88.454
45,1528800,88.454
46,1528800,88.454
47,1528842,88.454
48,1528842,88.454
49,1528842,88.454
50,1528842,84.0313
51,1520100,84.0313
52,1512024,84.0313
53,1512024,84.0313
54,1507233,84.0313
55,1507233,84.0313
56,1503038,84.0313
57,1503038,84.0313
58,1503038,84.0313
59,1503038,84.0313
60,1503038,79.8298
61,1503038,79.8298
62,1503038,79.8298
63,1503038,79.8298
64,1503038,79.8298
65,1503038,79.8298
66,1503038,79.8298
67,1503038,79.8298
68,1503038,79.8298
69,1503038,79.8298
70,1503038,79.0315
71,1503038,79.0315
72,1493402,79.0315
73,1493402,79.0315
74,1493402,79.0315
75,1493402,79.0315
76,1488696,79.0315
77,1484496,79.0315
78,1484496,79.0315
79,1484510,79.0315
80,1484510,75.0799
81,1484510,75.0799
82,1478382,75.0799
83,1478382,75.0799
84,1478382,75.0799
85,1478382,75.0799
86,1478382,75.0799
87,1478382,75.0799
88,1478382,75.0799
89,1478382,75.0799
90,1478382,74.3291
91,1478382,74.3291
92,1477709,74.3291
93,1477709,74.3291
94,1477709,74.3291
95,1477709,74.3291
96,1477709,74.3291
97,1474400,74.3291
98,1474443,74.3291
99,1474165,74.3291
100,1473731,70.6126
101,1471418,70.6126
102,1471418,70.6126
103,1467718,70.6126
104,1467718,70.6126
105,1466356,70.6126
106,1465556,70.6126
107,1465556,70.6126
108,1465556,70.6126
109,1465556,70.6126
110,1458085,67.082
111,1456205,67.082
112,1456205,67.082
113,1456205,67.082
114,1451945,67.082
115,1449507,67.082
116,1448376,67.082
117,1448376,67.082
118,1448376,67.082
119,1446374,67.082
120,1437736,63.7279
121,1437736,63.7279
122,1437736,63.7279
123,1437736,63.7279
124,1437736,63.7279
125,1437736,63.7279
126,1437736,63.7279
127,1437736,63.7279
128,1437736,63.7279
129,1437736,63.7279
130,1434953,63.0906
131,1427521,63.0906
132,1426949,63.0906
133,1426831,63.0906
134,1426831,63.0906
135,1424428,63.0906
136,1423841,63.0906
137,1407507,63.0906
138,1407507,63.0906
139,1407507,63.0906
140,1407539,57.4125
141,1407589,57.4125
142,1407539,57.4125
143,1407539,57.4125
144,1407659,57.4125
145,1407307,57.4125
146,1407263,57.4125
147,1407247,57.4125
148,1407244,57.4125
149,1407244,57.4125
150,1407244,52.2453
151,1407244,52.2453
152,1406244,52.2453
153,1406244,52.2453
154,1405839,52.2453
155,1405826,52.2453
156,1405167,52.2453
157,1405077,52.2453
158,1405077,52.2453
159,1404069,52.2453
160,1403893,49.6331
161,1403572,49.6331
162,1403588,49.6331
163,1403555,49.6331
164,1403523,49.6331
165,1403523,49.6331
166,1403539,49.6331
167,1403179,49.6331
168,1403179,49.6331
169,1403179,49.6331
170,1402564,45.1661
171,1402564,45.1661
172,1402559,45.1661
173,1402311,45.1661
174,1402311,45.1661
175,1402062,45.1661
176,1402062,45.1661
177,1402012,45.1661
178,1401946,45.1661
179,1401946,45.1661
180,1401946,42.9078
181,1401690,42.9078
182,1401576,42.9078
183,1401328,42.9078
184,1401328,42.9078
185,1401328,42.9078
186,1401318,42.9078
187,1401318,42.9078
188,1401179,42.9078
189,1401103,42.9078
190,1401103,40.7624
191,1401070,40.7624
192,1401040,40.7624
193,1400691,40.7624
194,1400691,40.7624
195,1400757,40.7624
196,1400757,40.7624
197,1400757,40.7624
198,1400385,40.7624
199,1399678,40.7624
200,1399432,38.7243
201,1399432,38.7243
202,1399432,38.7243
203,1399432,38.7243
204,1398933,38.7243
205,1398534,38.7243
206,1398350,38.7243
207,1398350,38.7243
208,1398350,38.7243
209,1398350,38.7243
210,1397715,36.7881
211,1397757,36.7881
212,1397764,36.7881
213,1397758,36.7881
214,1397057,36.7881
215,1397057,36.7881
216,1397067,36.7881
217,1397070,36.7881
218,1397070,36.7881
219,1396788,36.7881
220,1396788,33.4771
221,1396788,33.4771
222,1396788,33.4771
223,1396788,33.4771
224,1396528,33.4771
225,1396528,33.4771
226,1396443,33.4771
227,1396373,33.4771
228,1396373,33.4771
229,1396370,33.4771
230,1396354,31.8033
231,1395654,31.8033
232,1395654,31.8033
233,1395654,31.8033
234,1395584,31.8033
235,1395584,31.8033
