Iteration,Cost,Temperature
0,1832899,100
1,1832899,100
2,1832899,100
3,1816282,100
4,1816282,100
5,1793442,100
6,1793442,100
7,1793442,100
8,1793442,100
9,1793442,100
10,1793442,99
11,1714723,99
12,1714723,99
13,1714730,99
14,1714730,99
15,1699228,99
16,1659057,99
17,1659057,99
18,1613464,99
19,1613464,99
20,1613464,94.05
21,1609410,94.05
22,1609410,94.05
23,1602105,94.05
24,1591767,94.05
25,1591126,94.05
26,1591126,94.05
27,1591126,94.05
28,1591126,94.05
29,1591126,94.05
30,1587766,89.3475
31,1587766,89.3475
32,1587766,89.3475
33,1587766,89.3475
34,1587766,89.3475
35,1587766,89.3475
36,1587766,89.3475
37,1587147,89.3475
38,1577948,89.3475
39,1577948,89.3475
40,1577948,88.454
41,1544227,88.454
42,1542415,88.454
43,1532115,88.454
44,1528298,88.454
45,1528298,88.454
46,1528298,88.454
47,1528340,88.454
48,1528340,88.454
49,1528340,88.454
50,1528340,84.0313
51,1519598,84.0313
52,1511065,84.0313
53,1511065,84.0313
54,1506274,84.0313
55,1506274,84.0313
56,1501086,84.0313
57,1501086,84.0313
58,1501086,84.0313
59,1501086,84.0313
60,1501086,79.8298
61,1501086,79.8298
62,1501086,79.8298
63,1501086,79.8298
64,1501086,79.8298
65,1501086,79.8298
66,1501086,79.8298
67,1501086,79.8298
68,1501086,79.8298
69,1501086,79.8298
70,1501086,79.0315
71,1501086,79.0315
72,1491578,79.0315
73,1491578,79.0315
74,1491578,79.0315
75,1491578,79.0315
76,1486854,79.0315
77,1486854,79.0315
78,1486854,79.0315
79,1486854,79.0315
80,1486854,78.2411
81,1484276,78.2411
82,1480486,78.2411
83,1480486,78.2411
84,1480486,78.2411
85,1480486,78.2411
86,1480486,78.2411
87,1480486,78.2411
88,1473406,78.2411
89,1473406,78.2411
90,1473406,77.4587
91,1473406,77.4587
92,1473406,77.4587
93,1473406,77.4587
94,1473406,77.4587
95,1473406,77.4587
96,1473406,77.4587
97,1470103,77.4587
98,1470103,77.4587
99,1470103,77.4587
100,1470087,76.6841
101,1461744,76.6841
102,1461744,76.6841
103,1461744,76.6841
104,1461744,76.6841
105,1461744,76.6841
106,1456907,76.6841
107,1427335,76.6841
108,1427335,76.6841
109,1423042,76.6841
110,1422790,72.8499
111,1422790,72.8499
112,1422790,72.8499
113,1420194,72.8499
114,1415582,72.8499
115,1415155,72.8499
116,1415155,72.8499
117,1398647,72.8499
118,1393485,72.8499
119,1389522,72.8499
120,1389522,66.2934
121,1389522,66.2934
122,1389522,66.2934
123,1389522,66.2934
124,1372377,66.2934
125,1372377,66.2934
126,1372377,66.2934
127,1368683,66.2934
128,1368683,66.2934
129,1368683,66.2934
130,1368369,65.6305
131,1368369,65.6305
132,1365720,65.6305
133,1365720,65.6305
134,1364736,65.6305
135,1360661,65.6305
136,1360661,65.6305
137,1360661,65.6305
138,1360661,65.6305
139,1360661,65.6305
140,1360661,62.349
141,1360661,62.349
142,1354139,62.349
143,1354139,62.349
144,1353844,62.349
145,1353844,62.349
146,1353844,62.349
147,1353844,62.349
148,1352890,62.349
149,1352890,62.349
150,1352890,59.2315
151,1352890,59.2315
152,1352890,59.2315
153,1352608,59.2315
154,1352488,59.2315
155,1352468,59.2315
156,1352414,59.2315
157,1352136,59.2315
158,1352136,59.2315
159,1352136,59.2315
160,1351676,56.27
161,1351573,56.27
162,1351254,56.27
163,1351232,56.27
164,1351083,56.27
165,1350967,56.27
166,1350967,56.27
167,1350967,56.27
168,1350955,56.27
169,1350955,56.27
170,1350296,51.2057
171,1350148,51.2057
172,1350148,51.2057
173,1350165,51.2057
174,1350165,51.2057
175,1350162,51.2057
176,1350162,51.2057
177,1350000,51.2057
178,1349861,51.2057
179,1349770,51.2057
180,1349770,46.5972
181,1349425,46.5972
182,1349400,46.5972
183,1349259,46.5972
184,1349259,46.5972
185,1348878,46.5972
186,1348878,46.5972
187,1348710,46.5972
188,1348022,46.5972
189,1348022,46.5972
190,1347368,44.2673
191,1347368,44.2673
192,1347368,44.2673
193,1346738,44.2673
194,1346738,44.2673
195,1346676,44.2673
196,1346676,44.2673
197,1346688,44.2673
198,1346676,44.2673
199,1346390,44.2673
200,1346320,40.2832
201,1346320,40.2832
202,1346361,40.2832
203,1346361,40.2832
204,1346225,40.2832
205,1346225,40.2832
206,1346225,40.2832
207,1346201,40.2832
208,1346201,40.2832
209,1345832,40.2832
210,1345854,38.2691
211,1345854,38.2691
212,1345854,38.2691
213,1345854,38.2691
214,1344846,38.2691
215,1344846,38.2691
216,1344642,38.2691
217,1344007,38.2691
218,1343983,38.2691
219,1343887,38.2691
220,1343488,36.3556
221,1343488,36.3556
222,1343191,36.3556
223,1343191,36.3556
224,1343175,36.3556
225,1343175,36.3556
226,1343175,36.3556
227,1343112,36.3556
228,1342830,36.3556
229,1342774,36.3556
230,1342774,34.5378
231,1342774,34.5378
232,1342774,34.5378
233,1342774,34.5378
234,1342774,34.5378
235,1342794,34.5378
236,1342794,34.5378
