Iteration,Cost,Temperature
0,1832899,10
1,1474253,9.9
2,1427690,9.801
3,1384808,9.70299
4,1359993,9.60596
5,1340185,9.5099
6,1318741,9.4148
7,1300126,9.32065
8,1292334,9.22745
9,1275355,9.13517
10,1249583,9.04382
11,1239690,8.95338
12,1233195,8.86385
13,1222260,8.77521
14,1218257,8.68746
15,1208763,8.60058
16,1194901,8.51458
17,1186602,8.42943
18,1184957,8.34514
19,1183665,8.26169
20,1178234,8.17907
21,1169737,8.09728
22,1167605,8.01631
23,1161540,7.93614
24,1147290,7.85678
25,1136660,7.77821
26,1122426,7.70043
27,1102843,7.62343
28,1100292,7.54719
29,1091790,7.47172
30,1088049,7.397
31,1086782,7.32303
32,1085253,7.2498
33,1083921,7.17731
34,1082920,7.10553
35,1082550,7.03448
36,1082230,6.96413
37,1080217,6.89449
38,1079912,6.82555
39,1079656,6.75729
40,1079207,6.68972
41,1079023,6.62282
42,1079012,6.55659
43,1078871,6.49103
44,1078576,6.42612
45,1078490,6.36185
46,1078075,6.29824
47,1078073,6.23525
48,1077827,6.1729
49,1077805,6.11117
50,1077769,6.05006
51,1077663,5.98956
52,1077020,5.69008
53,1076859,5.63318
54,1076601,5.35152
55,1076488,5.08395
56,1076310,4.82975
57,1076168,4.78145
58,1076122,4.73364
59,1076073,4.6863
60,1076026,4.63944
61,1075996,4.40747
62,1076019,4.36339
63,1075960,4.31976
64,1075983,4.27656
65,1075970,4.06273
66,1075981,4.0221
67,1075968,3.98188
68,1075982,3.94206
69,1075988,3.90264
70,1075981,3.86362
71,1075998,3.82498
72,1075985,3.63373
73,1075966,3.45205
74,1075977,3.41752
75,1076003,3.38335
76,1075973,3.34952
77,1075968,3.31602
78,1075955,3.28286
79,1075960,3.25003
80,1075963,3.21753
81,1075963,3.18536
82,1075980,3.1535
83,1075975,3.12197
84,1075977,3.09075
85,1075985,3.05984
86,1075997,3.02924
87,1075980,2.99895
88,1075978,2.96896
89,1075996,2.93927
90,1075968,2.79231
91,1075970,2.76438
92,1075951,2.73674
93,1075952,2.70937
94,1075957,2.68228
95,1075986,2.65546
96,1075980,2.6289
97,1075954,2.60261
98,1075949,2.57659
99,1075968,2.55082
100,1075961,2.52531
101,1075962,2.50006
102,1075967,2.47506
103,1075981,2.45031
104,1075972,2.42581
105,1075954,2.40155
106,1075951,2.37753
107,1075941,2.35376
108,1075955,2.33022
109,1075954,2.30692
110,1075960,2.28385
111,1075937,2.26101
112,1075950,2.2384
113,1075943,2.21601
114,1075943,2.19385
115,1075949,2.17192
116,1075940,2.1502
117,1075951,2.1287
118,1075963,2.10741
119,1075967,2.08633
120,1075951,2.06547
121,1075954,2.04482
122,1075946,2.02437
123,1075936,2.00412
124,1075950,1.98408
125,1075956,1.96424
126,1075946,1.9446
127,1075946,1.92515
128,1075946,1.9059
129,1075935,1.88684
130,1075934,1.86797
131,1075937,1.84929
132,1075941,1.8308
133,1075938,1.81249
134,1075928,1.79437
135,1075930,1.77643
136,1075934,1.75866
137,1075927,1.74107
138,1075936,1.72366
139,1075945,1.70643
140,1075947,1.68936
141,1075942,1.67247
142,1075953,1.65574
143,1075950,1.63919
144,1075939,1.6228
145,1075949,1.60657
146,1075951,1.5905
147,1075935,1.5746
148,1075935,1.55885
149,1075926,1.54326
150,1075924,1.52783
151,1075927,1.51255
152,1075937,1.49743
153,1075939,1.48245
154,1075927,1.46763
155,1075925,1.45295
156,1075931,1.43842
157,1075942,1.42404
158,1075943,1.4098
159,1075939,1.3957
160,1075936,1.38174
161,1075939,1.36792
162,1075940,1.35424
163,1075941,1.3407
164,1075939,1.3273
165,1075927,1.31402
166,1075932,1.30088
167,1075933,1.28787
168,1075928,1.27499
169,1075926,1.26224
170,1075927,1.24962
171,1075922,1.23713
172,1075924,1.22475
173,1075926,1.21251
174,1075924,1.20038
175,1075923,1.18838
176,1075925,1.17649
177,1075927,1.16473
178,1075925,1.15308
179,1075927,1.14155
180,1075928,1.13014
181,1075926,1.11883
182,1075924,1.10765
183,1075926,1.09657
184,1075936,1.0856
185,1075935,1.07475
186,1075931,1.064
187,1075924,1.05336
188,1075929,1.04283
189,1075934,1.0324
190,1075925,1.02207
191,1075930,1.01185
192,1075930,1.00174
