Iteration,Cost,Temperature
0,1832899,100
1,1832899,100
2,1832899,100
3,1816282,100
4,1816282,100
5,1793442,100
6,1793442,100
7,1793442,100
8,1793442,100
9,1793442,100
10,1793442,99
11,1714723,99
12,1714723,99
13,1714730,99
14,1714730,99
15,1699228,99
16,1659057,99
17,1659057,99
18,1613464,99
19,1613464,99
20,1613464,94.05
21,1609410,94.05
22,1609410,94.05
23,1602105,94.05
24,1591767,94.05
25,1591126,94.05
26,1591126,94.05
27,1591126,94.05
28,1591126,94.05
29,1591126,94.05
30,1587766,89.3475
31,1587766,89.3475
32,1587766,89.3475
33,1587766,89.3475
34,1587766,89.3475
35,1587766,89.3475
36,1587766,89.3475
37,1587147,89.3475
38,1577948,89.3475
39,1577948,89.3475
40,1577948,88.454
41,1544227,88.454
42,1542415,88.454
43,1532115,88.454
44,1528298,88.454
45,1528298,88.454
46,1528298,88.454
47,1528298,88.454
48,1528298,88.454
49,1528298,88.454
50,1528298,84.0313
51,1519556,84.0313
52,1511023,84.0313
53,1511023,84.0313
54,1506232,84.0313
55,1506232,84.0313
56,1501128,84.0313
57,1501128,84.0313
58,1501128,84.0313
59,1501128,84.0313
60,1501128,79.8298
61,1501128,79.8298
62,1501128,79.8298
63,1501128,79.8298
64,1501128,79.8298
65,1501128,79.8298
66,1501128,79.8298
67,1501128,79.8298
68,1501128,79.8298
69,1501128,79.8298
70,1501128,79.0315
71,1501128,79.0315
72,1491620,79.0315
73,1491620,79.0315
74,1491620,79.0315
75,1491620,79.0315
76,1486896,79.0315
77,1486896,79.0315
78,1486896,79.0315
79,1486896,79.0315
80,1486896,78.2411
81,1484318,78.2411
82,1480528,78.2411
83,1480528,78.2411
84,1480528,78.2411
85,1480528,78.2411
86,1480528,78.2411
87,1480528,78.2411
88,1473448,78.2411
89,1473448,78.2411
90,1473448,77.4587
91,1473448,77.4587
92,1473448,77.4587
93,1473448,77.4587
94,1473448,77.4587
95,1473448,77.4587
96,1473448,77.4587
97,1470145,77.4587
98,1470145,77.4587
99,1470145,77.4587
100,1470129,76.6841
101,1461786,76.6841
102,1461786,76.6841
103,1461786,76.6841
104,1461786,76.6841
105,1461786,76.6841
106,1456949,76.6841
107,1427377,76.6841
108,1427377,76.6841
109,1423084,76.6841
110,1422832,72.8499
111,1422832,72.8499
112,1422832,72.8499
113,1421288,72.8499
114,1416676,72.8499
115,1416249,72.8499
116,1416249,72.8499
117,1400198,72.8499
118,1394988,72.8499
119,1390676,72.8499
120,1390676,66.2934
121,1390676,66.2934
122,1390676,66.2934
123,1390676,66.2934
124,1373984,66.2934
125,1373984,66.2934
126,1373984,66.2934
127,1370290,66.2934
128,1370290,66.2934
129,1370290,66.2934
130,1370198,65.6305
131,1370198,65.6305
132,1367549,65.6305
133,1367549,65.6305
134,1366514,65.6305
135,1361982,65.6305
136,1361982,65.6305
137,1361982,65.6305
138,1361982,65.6305
139,1361982,65.6305
140,1361982,62.349
141,1361982,62.349
142,1355460,62.349
143,1355460,62.349
144,1355165,62.349
145,1355165,62.349
146,1355165,62.349
147,1355165,62.349
148,1354239,62.349
149,1354239,62.349
150,1354239,59.2315
151,1354239,59.2315
152,1354239,59.2315
153,1353957,59.2315
154,1353837,59.2315
155,1353817,59.2315
156,1353763,59.2315
157,1353485,59.2315
158,1353485,59.2315
159,1353485,59.2315
160,1353025,56.27
161,1352922,56.27
162,1352603,56.27
163,1352581,56.27
164,1352432,56.27
165,1352316,56.27
166,1352452,56.27
167,1352452,56.27
168,1352440,56.27
169,1352452,56.27
170,1351793,51.2057
171,1351645,51.2057
172,1351645,51.2057
173,1351645,51.2057
174,1351645,51.2057
175,1351642,51.2057
176,1351642,51.2057
177,1351480,51.2057
178,1351341,51.2057
179,1351250,51.2057
180,1351250,48.6454
181,1350905,48.6454
182,1350737,48.6454
183,1350596,48.6454
184,1350596,48.6454
185,1350215,48.6454
186,1350301,48.6454
187,1350276,48.6454
188,1349884,48.6454
189,1349884,48.6454
190,1349254,44.2673
191,1349254,44.2673
192,1349254,44.2673
193,1348600,44.2673
194,1348600,44.2673
195,1348554,44.2673
196,1348554,44.2673
197,1348542,44.2673
198,1348554,44.2673
199,1348268,44.2673
200,1348198,40.2832
201,1348198,40.2832
202,1348239,40.2832
203,1348239,40.2832
204,1348103,40.2832
205,1348103,40.2832
206,1348181,40.2832
207,1348157,40.2832
208,1348157,40.2832
209,1347788,40.2832
210,1347788,38.2691
211,1347776,38.2691
212,1347776,38.2691
213,1347776,38.2691
214,1346768,38.2691
215,1346768,38.2691
216,1345811,38.2691
217,1345176,38.2691
218,1345152,38.2691
219,1345056,38.2691
220,1344657,36.3556
221,1344737,36.3556
222,1344440,36.3556
223,1344440,36.3556
224,1344424,36.3556
225,1344424,36.3556
226,1344424,36.3556
227,1344361,36.3556
228,1344113,36.3556
229,1344057,36.3556
230,1344057,33.0836
231,1344057,33.0836
232,1344057,33.0836
233,1344057,33.0836
234,1344057,33.0836
235,1344077,33.0836
236,1344077,33.0836
