Iteration,Cost,Temperature
0,1832899,100
1,1832899,100
2,1832899,100
3,1816282,100
4,1816472,100
5,1793632,100
6,1793632,100
7,1793632,100
8,1793632,100
9,1793632,100
10,1793632,99
11,1714913,99
12,1714913,99
13,1714920,99
14,1714920,99
15,1699418,99
16,1658867,99
17,1658867,99
18,1613274,99
19,1613274,99
20,1613274,94.05
21,1609220,94.05
22,1609220,94.05
23,1601915,94.05
24,1591577,94.05
25,1591316,94.05
26,1591316,94.05
27,1591316,94.05
28,1591316,94.05
29,1591316,94.05
30,1587956,89.3475
31,1587956,89.3475
32,1587956,89.3475
33,1587956,89.3475
34,1587956,89.3475
35,1587956,89.3475
36,1587956,89.3475
37,1587337,89.3475
38,1578138,89.3475
39,1578138,89.3475
40,1578138,88.454
41,1544417,88.454
42,1542225,88.454
43,1531925,88.454
44,1528108,88.454
45,1528108,88.454
46,1528108,88.454
47,1528150,88.454
48,1528150,88.454
49,1528150,88.454
50,1528150,84.0313
51,1519788,84.0313
52,1511255,84.0313
53,1511255,84.0313
54,1506464,84.0313
55,1506464,84.0313
56,1500896,84.0313
57,1500896,84.0313
58,1500896,84.0313
59,1500896,84.0313
60,1500896,79.8298
61,1500896,79.8298
62,1500896,79.8298
63,1500896,79.8298
64,1500896,79.8298
65,1500896,79.8298
66,1500896,79.8298
67,1500896,79.8298
68,1500896,79.8298
69,1500896,79.8298
70,1500896,79.0315
71,1500896,79.0315
72,1491388,79.0315
73,1491388,79.0315
74,1491388,79.0315
75,1491388,79.0315
76,1486664,79.0315
77,1486664,79.0315
78,1486664,79.0315
79,1486664,79.0315
80,1486664,78.2411
81,1484086,78.2411
82,1480296,78.2411
83,1480296,78.2411
84,1480296,78.2411
85,1480296,78.2411
86,1480296,78.2411
87,1480296,78.2411
88,1475852,78.2411
89,1475852,78.2411
90,1475852,77.4587
91,1475852,77.4587
92,1475852,77.4587
93,1475852,77.4587
94,1475852,77.4587
95,1475852,77.4587
96,1475852,77.4587
97,1472549,77.4587
98,1472549,77.4587
99,1472549,77.4587
100,1472533,76.6841
101,1464139,76.6841
102,1464139,76.6841
103,1464139,76.6841
104,1464139,76.6841
105,1464209,76.6841
106,1459226,76.6841
107,1429471,76.6841
108,1429471,76.6841
109,1425093,76.6841
110,1425093,72.8499
111,1425093,72.8499
112,1425093,72.8499
113,1423519,72.8499
114,1423519,72.8499
115,1423023,72.8499
116,1423023,72.8499
117,1423023,72.8499
118,1422423,72.8499
119,1413188,72.8499
120,1408025,69.2074
121,1408025,69.2074
122,1408025,69.2074
123,1408025,69.2074
124,1398437,69.2074
125,1398437,69.2074
126,1398437,69.2074
127,1396084,69.2074
128,1396084,69.2074
129,1396084,69.2074
130,1396084,68.5154
131,1396084,68.5154
132,1391586,68.5154
133,1391586,68.5154
134,1391586,68.5154
135,1391586,68.5154
136,1391602,68.5154
137,1391602,68.5154
138,1391602,68.5154
139,1391602,68.5154
140,1391602,67.8302
141,1391602,67.8302
142,1391602,67.8302
143,1391602,67.8302
144,1391148,67.8302
145,1391148,67.8302
146,1380941,67.8302
147,1380941,67.8302
148,1380941,67.8302
149,1380941,67.8302
150,1380941,67.1519
151,1380941,67.1519
152,1380941,67.1519
153,1380941,67.1519
154,1380941,67.1519
155,1379986,67.1519
156,1379986,67.1519
157,1379986,67.1519
158,1379986,67.1519
159,1379986,67.1519
160,1379986,66.4804
161,1373438,66.4804
162,1373438,66.4804
163,1373438,66.4804
164,1366437,66.4804
165,1364730,66.4804
166,1364730,66.4804
167,1364061,66.4804
168,1364061,66.4804
169,1364061,66.4804
170,1364061,63.1564
171,1364061,63.1564
172,1363564,63.1564
173,1363564,63.1564
174,1363564,63.1564
175,1363564,63.1564
176,1353990,63.1564
177,1353990,63.1564
178,1352580,63.1564
179,1352313,63.1564
180,1352275,59.9986
181,1352275,59.9986
182,1352275,59.9986
183,1352281,59.9986
184,1351981,59.9986
185,1351701,59.9986
186,1351236,59.9986
187,1351101,59.9986
188,1351101,59.9986
189,1351049,59.9986
190,1351003,54.5987
191,1351003,54.5987
192,1351019,54.5987
193,1351019,54.5987
194,1350741,54.5987
195,1350452,54.5987
196,1350452,54.5987
197,1350452,54.5987
198,1350452,54.5987
199,1350396,54.5987
200,1350396,51.8688
201,1350396,51.8688
202,1350396,51.8688
203,1350396,51.8688
204,1350396,51.8688
205,1350409,51.8688
206,1349721,51.8688
207,1349660,51.8688
208,1349660,51.8688
209,1349449,51.8688
210,1349485,49.2753
211,1349485,49.2753
212,1349473,49.2753
213,1349468,49.2753
214,1349468,49.2753
215,1349456,49.2753
216,1349461,49.2753
217,1349461,49.2753
218,1349201,49.2753
219,1349152,49.2753
220,1349241,44.8405
221,1348558,44.8405
222,1348542,44.8405
223,1348212,44.8405
224,1348212,44.8405
225,1348264,44.8405
226,1347620,44.8405
227,1347620,44.8405
228,1347620,44.8405
229,1347503,44.8405
230,1346999,40.8049
231,1346999,40.8049
232,1346999,40.8049
233,1346999,40.8049
234,1346999,40.8049
