Iteration,Cost,Temperature
0,1464859,100
1,1464859,100
2,1464859,100
3,1450599,100
4,1450680,100
5,1430408,100
6,1430408,100
7,1430408,100
8,1430408,100
9,1430408,100
10,1430408,99
11,1367419,99
12,1367419,99
13,1367191,99
14,1367191,99
15,1353526,99
16,1320122,99
17,1320122,99
18,1282163,99
19,1282163,99
20,1282163,94.05
21,1278990,94.05
22,1278990,94.05
23,1272633,94.05
24,1264304,94.05
25,1264005,94.05
26,1264005,94.05
27,1264005,94.05
28,1264005,94.05
29,1264005,94.05
30,1262000,89.3475
31,1262000,89.3475
32,1262000,89.3475
33,1262000,89.3475
34,1262000,89.3475
35,1262000,89.3475
36,1262000,89.3475
37,1260899,89.3475
38,1247573,89.3475
39,1247573,89.3475
40,1247573,88.454
41,1218942,88.454
42,1217282,88.454
43,1208709,88.454
44,1203971,88.454
45,1203971,88.454
46,1203971,88.454
47,1204067,88.454
48,1204067,88.454
49,1204067,88.454
50,1204067,84.0313
51,1196211,84.0313
52,1196211,84.0313
53,1196211,84.0313
54,1192085,84.0313
55,1192085,84.0313
56,1192085,84.0313
57,1192085,84.0313
58,1192085,84.0313
59,1192085,84.0313
60,1191541,83.191
61,1191541,83.191
62,1184119,83.191
63,1184119,83.191
64,1182281,83.191
65,1182281,83.191
66,1182281,83.191
67,1182281,83.191
68,1182281,83.191
69,1182281,83.191
70,1182281,79.0315
71,1175621,79.0315
72,1173597,79.0315
73,1173597,79.0315
74,1173597,79.0315
75,1172513,79.0315
76,1167408,79.0315
77,1167408,79.0315
78,1167408,79.0315
79,1165483,79.0315
80,1164261,75.0799
81,1162759,75.0799
82,1162759,75.0799
83,1162759,75.0799
84,1162759,75.0799
85,1162759,75.0799
86,1162759,75.0799
87,1162759,75.0799
88,1162759,75.0799
89,1162759,75.0799
90,1162759,74.3291
91,1162759,74.3291
92,1157814,74.3291
93,1157814,74.3291
94,1150104,74.3291
95,1150104,74.3291
96,1150104,74.3291
97,1146960,74.3291
98,1145355,74.3291
99,1145355,74.3291
100,1145355,70.6126
101,1143492,70.6126
102,1143492,70.6126
103,1143492,70.6126
104,1143492,70.6126
105,1143492,70.6126
106,1143492,70.6126
107,1143492,70.6126
108,1143492,70.6126
109,1143492,70.6126
110,1143492,69.9065
111,1143532,69.9065
112,1143532,69.9065
113,1143532,69.9065
114,1139386,69.9065
115,1137210,69.9065
116,1137210,69.9065
117,1137210,69.9065
118,1133242,69.9065
119,1133242,69.9065
120,1133242,66.4112
121,1128122,66.4112
122,1128122,66.4112
123,1128122,66.4112
124,1122214,66.4112
125,1122214,66.4112
126,1120614,66.4112
127,1120614,66.4112
128,1117873,66.4112
129,1117873,66.4112
130,1117873,63.0906
131,1116991,63.0906
132,1116991,63.0906
133,1116991,63.0906
134,1116991,63.0906
135,1116991,63.0906
136,1116991,63.0906
137,1116991,63.0906
138,1116991,63.0906
139,1116991,63.0906
140,1116991,62.4597
141,1116991,62.4597
142,1116892,62.4597
143,1116892,62.4597
144,1116679,62.4597
145,1116679,62.4597
146,1116203,62.4597
147,1116203,62.4597
148,1116203,62.4597
149,1116203,62.4597
150,1115969,59.3367
151,1115969,59.3367
152,1115965,59.3367
153,1115965,59.3367
154,1115464,59.3367
155,1115464,59.3367
156,1115579,59.3367
157,1115507,59.3367
158,1115507,59.3367
159,1115513,59.3367
160,1115513,56.3699
161,1114997,56.3699
162,1114622,56.3699
163,1114622,56.3699
164,1114622,56.3699
165,1114578,56.3699
166,1113780,56.3699
167,1113780,56.3699
168,1113780,56.3699
169,1113780,56.3699
170,1113780,53.5514
171,1113793,53.5514
172,1113793,53.5514
173,1113793,53.5514
174,1113793,53.5514
175,1113833,53.5514
176,1113746,53.5514
177,1113746,53.5514
178,1113746,53.5514
179,1113731,53.5514
180,1113261,50.8738
181,1113218,50.8738
182,1112893,50.8738
183,1112760,50.8738
184,1112760,50.8738
185,1112650,50.8738
186,1112650,50.8738
187,1112650,50.8738
188,1112095,50.8738
189,1111774,50.8738
190,1111774,46.2952
191,1111774,46.2952
192,1111774,46.2952
193,1111774,46.2952
194,1111798,46.2952
195,1111798,46.2952
196,1111530,46.2952
197,1111530,46.2952
198,1111530,46.2952
199,1111210,46.2952
200,1111140,45.8322
201,1111140,45.8322
202,1111140,45.8322
203,1111140,45.8322
204,1110507,45.8322
205,1110507,45.8322
206,1110507,45.8322
207,1110507,45.8322
208,1110507,45.8322
209,1110301,45.8322
210,1110301,45.3739
211,1110301,45.3739
212,1110301,45.3739
213,1110333,45.3739
214,1110360,45.3739
215,1110360,45.3739
216,1110280,45.3739
217,1110260,45.3739
218,1110260,45.3739
219,1110260,45.3739
220,1110034,43.1052
221,1109952,43.1052
222,1109665,43.1052
223,1109665,43.1052
224,1109663,43.1052
225,1109663,43.1052
226,1109665,43.1052
227,1109495,43.1052
228,1109495,43.1052
229,1109180,43.1052
230,1109180,39.2257
231,1109180,39.2257
232,1109111,39.2257
233,1109084,39.2257
234,1109084,39.2257
235,1109084,39.2257
236,1109084,39.2257
237,1108864,39.2257
238,1108946,39.2257
239,1108643,39.2257
240,1108643,37.2645
241,1108643,37.2645
242,1108643,37.2645
243,1108493,37.2645
244,1108493,37.2645
245,1108408,37.2645
246,1108408,37.2645
247,1108408,37.2645
248,1108200,37.2645
249,1108200,37.2645
250,1108200,36.8918
251,1107930,36.8918
252,1107930,36.8918
253,1107850,36.8918
254,1107850,36.8918
255,1107850,36.8918
256,1107850,36.8918
257,1107850,36.8918
258,1107768,36.8918
259,1107768,36.8918
260,1107768,36.5229
261,1107419,36.5229
262,1107419,36.5229
263,1107115,36.5229
264,1107115,36.5229
265,1107115,36.5229
266,1106739,36.5229
267,1106637,36.5229
268,1106637,36.5229
269,1106637,36.5229
270,1106637,34.6968
271,1106600,34.6968
272,1106346,34.6968
273,1106314,34.6968
274,1105866,34.6968
275,1105866,34.6968
276,1105866,34.6968
277,1105866,34.6968
278,1105866,34.6968
279,1105866,34.6968
280,1105866,32.9619
281,1105866,32.9619
282,1105866,32.9619
283,1105866,32.9619
284,1105866,32.9619
285,1105866,32.9619
286,1105866,32.9619
287,1105875,32.9619
288,1105870,32.9619
289,1105870,32.9619
290,1105564,32.6323
291,1105470,32.6323
292,1105470,32.6323
293,1105470,32.6323
294,1105470,32.6323
295,1105470,32.6323
296,1105096,32.6323
297,1105096,32.6323
298,1105096,32.6323
299,1104495,32.6323
300,1104495,31.0007
301,1104538,31.0007
302,1104538,31.0007
303,1104525,31.0007
304,1104558,31.0007
305,1104573,31.0007
306,1104530,31.0007
307,1104530,31.0007
308,1103896,31.0007
309,1103816,31.0007
310,1103543,28.2106
311,1103495,28.2106
